Technique,Runs,Total Runs,Run Time (ms)
NakedSingle,80,9,0.0002
NakedSingle,8,9,0.0001
NakedSingle,11,9,0.0001
NakedSingle,17,9,0.0002
NakedSingle,18,9,0.0001
NakedSingle,30,9,0.0001
NakedSingle,34,9,0
NakedSingle,38,9,0.0003
NakedSingle,45,9,0.0001
NakedSingle,47,9,0.0002
NakedSingle,51,9,0.0002
NakedSingle,55,9,0.0001
NakedSingle,76,9,0.0002
NakedSingle,80,9,0.0002
NakedSingle,8,9,0.0001
NakedSingle,11,9,0.0001
NakedSingle,17,9,0.0001
NakedSingle,18,9,0
NakedSingle,30,9,0.0002
NakedSingle,34,9,0.0001
NakedSingle,38,9,0.0001
NakedSingle,45,9,0
NakedSingle,47,9,0.0002
NakedSingle,51,9,0
NakedSingle,55,9,0.0002
NakedSingle,76,9,0.0002
NakedSingle,77,9,0.0002
NakedSingle,80,9,0.0001
NakedSingle,8,9,0
NakedSingle,11,9,0
NakedSingle,17,9,0.0001
NakedSingle,18,9,0.0003
NakedSingle,30,9,0.0001
NakedSingle,34,9,0.0002
NakedSingle,38,9,0.0002
NakedSingle,45,9,0.0001
NakedSingle,47,9,0.0003
NakedSingle,51,9,0.0001
NakedSingle,55,9,0.0003
NakedSingle,73,9,0.0004
NakedSingle,76,9,0.0002
NakedSingle,77,9,0.0003
NakedSingle,80,9,0.0002
NakedSingle,8,9,0
NakedSingle,11,9,0
NakedSingle,17,9,0.0002
NakedSingle,18,9,0.0002
NakedSingle,30,9,0.0002
NakedSingle,34,9,0.0001
NakedSingle,38,9,0.0002
NakedSingle,45,9,0.0001
NakedSingle,47,9,0.0002
NakedSingle,51,9,0.0001
NakedSingle,55,9,0.0002
NakedSingle,65,9,0.0001
NakedSingle,73,9,0.0002
NakedSingle,76,9,0.0004
NakedSingle,77,9,0.0003
NakedSingle,80,9,0.0002
NakedSingle,8,9,0.0001
NakedSingle,11,9,0.0001
NakedSingle,17,9,0
NakedSingle,18,9,0
NakedSingle,30,9,0
NakedSingle,34,9,0
NakedSingle,38,9,0.0001
