Technique,Runs,Total Runs,Run Time (ms)
NakedSingle,61,15,0.0002
NakedSingle,60,9,0.0001
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0002
NakedSingle,69,17,0.0002
NakedSingle,64,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,10,36,0.0001
NakedSingle,13,36,0.0002
NakedSingle,25,71,0.0003
NakedSingle,26,71,0.0002
NakedSingle,17,43,0.0001
NakedSingle,7,31,0.0001
NakedSingle,15,31,0.0001
NakedSingle,23,43,0.0002
NakedSingle,5,18,0.0001
NakedSingle,6,18,0.0001
NakedSingle,2,9,0.0001
NakedSingle,28,21,0.0002
NakedSingle,19,9,0.0001
NakedSingle,20,9,0.0001
NakedSingle,29,9,0.0001
NakedSingle,35,9,0.0002
NakedSingle,37,9,0.0002
NakedSingle,39,9,0.0001
NakedSingle,43,15,0.0002
NakedSingle,42,9,0.0001
NakedSingle,49,9,0.0002
NakedSingle,50,9,0.0001
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0002
NakedSingle,61,15,0.0002
NakedSingle,60,9,0.0002
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0002
NakedSingle,69,17,0.0002
NakedSingle,64,9,0.0002
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,10,36,0.0001
NakedSingle,13,36,0.0001
NakedSingle,25,71,0.0002
NakedSingle,26,71,0.0002
NakedSingle,17,43,0.0001
NakedSingle,7,31,0.0001
NakedSingle,15,31,0.0002
NakedSingle,23,43,0.0002
NakedSingle,5,18,0.0001
NakedSingle,6,18,0.0001
NakedSingle,2,9,0.0001
NakedSingle,28,21,0.0002
NakedSingle,19,9,0.0001
NakedSingle,20,9,0.0001
NakedSingle,29,9,0.0002
NakedSingle,35,9,0.0002
NakedSingle,37,9,0.0002
NakedSingle,39,9,0.0001
NakedSingle,43,15,0.0002
NakedSingle,42,9,0.0002
NakedSingle,49,9,0.0001
NakedSingle,50,9,0.0002
NakedSingle,53,9,0.0001
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0002
NakedSingle,61,15,0.0001
NakedSingle,60,9,0.0002
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0002
NakedSingle,69,17,0.0002
NakedSingle,64,9,0.0001
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,10,39,0.0002
NakedSingle,13,39,0.0002
NakedSingle,28,87,0.0005
NakedSingle,19,53,0.0002
NakedSingle,25,74,0.0003
NakedSingle,26,74,0.0003
NakedSingle,17,49,0.0001
NakedSingle,8,37,0.0001
NakedSingle,7,31,0.0001
NakedSingle,15,31,0.0001
NakedSingle,23,40,0.0003
NakedSingle,5,18,0.0001
NakedSingle,6,18,0.0001
NakedSingle,2,9,0.0001
NakedSingle,20,9,0.0001
NakedSingle,29,9,0.0001
NakedSingle,35,9,0.0001
NakedSingle,37,9,0.0001
NakedSingle,39,9,0.0002
NakedSingle,43,15,0.0001
NakedSingle,42,9,0.0001
NakedSingle,49,9,0.0002
NakedSingle,50,9,0.0001
NakedSingle,53,9,0.0002
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0002
NakedSingle,61,15,0.0002
NakedSingle,60,9,0.0002
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0002
NakedSingle,69,17,0.0002
NakedSingle,64,9,0.0002
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,10,39,0.0002
NakedSingle,13,39,0.0002
NakedSingle,28,87,0.0005
NakedSingle,19,53,0.0002
NakedSingle,25,74,0.0003
NakedSingle,26,74,0.0003
NakedSingle,17,49,0.0002
NakedSingle,8,37,0.0001
NakedSingle,7,31,0.0001
NakedSingle,15,31,0.0002
NakedSingle,23,40,0.0002
NakedSingle,5,18,0
NakedSingle,6,18,0.0001
NakedSingle,2,9,0.0001
NakedSingle,20,9,0.0001
NakedSingle,29,9,0.0002
NakedSingle,35,9,0.0001
NakedSingle,37,9,0.0001
NakedSingle,39,9,0.0001
NakedSingle,43,15,0.0002
NakedSingle,42,9,0.0001
NakedSingle,47,9,0.0002
NakedSingle,49,9,0.0002
NakedSingle,50,9,0.0002
NakedSingle,53,9,0.0002
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0002
NakedSingle,61,15,0.0002
NakedSingle,60,9,0.0001
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0002
NakedSingle,69,17,0.0003
NakedSingle,64,9,0.0002
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0003
NakedSingle,79,9,0.0002
NakedSingle,13,55,0.0002
NakedSingle,28,101,0.0005
NakedSingle,29,103,0.0004
NakedSingle,35,103,0.0004
NakedSingle,39,110,0.0004
NakedSingle,12,47,0.0002
NakedSingle,10,39,0.0002
NakedSingle,19,53,0.0002
NakedSingle,25,74,0.0003
NakedSingle,26,74,0.0002
NakedSingle,17,49,0.0002
NakedSingle,8,37,0.0002
NakedSingle,7,31,0.0001
NakedSingle,15,31,0.0001
NakedSingle,23,40,0.0002
NakedSingle,5,18,0
NakedSingle,6,18,0.0001
NakedSingle,2,9,0.0001
NakedSingle,20,9,0.0001
NakedSingle,37,9,0.0001
NakedSingle,43,15,0.0002
NakedSingle,42,9,0.0002
NakedSingle,47,9,0.0002
NakedSingle,49,9,0.0002
